album,,count,words
My Beautiful Dark Twisted Fantasy,i'll call you bitch for short.,-0.8999999761581421,i'll call you bitch for short.
My Beautiful Dark Twisted Fantasy,can�t let her grow up in that ghetto university. . .,-0.8999999761581421,can�t let her grow up in that ghetto university. . .
The College Dropout,you know the kids gon' act a fool.,-0.8999999761581421,you know the kids gon' act a fool.
The College Dropout,some say he arrogant.,-0.8999999761581421,some say he arrogant.
The College Dropout,"'cuz we don't wanna hear that weak shit no mo'. . . n-now, th-th-throw your motherfuckin' hands.",-0.8999999761581421,"'cuz we don't wanna hear that weak shit no mo'. . . n-now, th-th-throw your motherfuckin' hands."
The College Dropout,"so, like i'm just straight holdin' the phone, gettin' the bad news that dude was tryin' to leave my company.",-0.8999999761581421,"so, like i'm just straight holdin' the phone, gettin' the bad news that dude was tryin' to leave my company."
The College Dropout,"tell me who's invited: you, your friends and my dick.",-0.8999999761581421,"tell me who's invited: you, your friends and my dick."
The College Dropout,"then she cut it all off, now she look like eve. and she be dealin' with some issues that you can't believe.",-0.8999999761581421,"then she cut it all off, now she look like eve. and she be dealin' with some issues that you can't believe."
The College Dropout,you's a bitch i got ones that are thicker than you.,-0.8999999761581421,you's a bitch i got ones that are thicker than you.
The College Dropout,"and i still won't grow up, i'm a grown-ass kid.",-0.8999999761581421,"and i still won't grow up, i'm a grown-ass kid."
The College Dropout,swear i should be locked up for stupid shit that i did.,-0.8999999761581421,swear i should be locked up for stupid shit that i did.
The College Dropout,and ain't no loans for sittin' your ass at home.,-0.8999999761581421,and ain't no loans for sittin' your ass at home.
The College Dropout,"you know, they dick riders.",-0.8999999761581421,"you know, they dick riders."
The College Dropout,i don't want to ever go back there.,-0.8999999761581421,i don't want to ever go back there.
The College Dropout,you know i ain't talkin shit.,-0.8999999761581421,you know i ain't talkin shit.
The College Dropout,what in the fuck was that kanye?!.,-0.8999999761581421,what in the fuck was that kanye?!.
The College Dropout,when you a dick with a loose nut.,-0.8999999761581421,when you a dick with a loose nut.
The Life of Pablo,"wake up versace, shit life desiigner.",-0.8999999761581421,"wake up versace, shit life desiigner."
The Life of Pablo,"i hate the new kanye, the bad mood kanye.",-0.8999999761581421,"i hate the new kanye, the bad mood kanye."
The Life of Pablo,don't fool yourself.,-0.8999999761581421,don't fool yourself.
The Life of Pablo,"yeah, this type of shit you just ride out to.",-0.8999999761581421,"yeah, this type of shit you just ride out to."
The Life of Pablo,you wanna ask some questions 'bout some real shit?.,-0.8999999761581421,you wanna ask some questions 'bout some real shit?.
The Life of Pablo,"pain of a brother, your dirty mother.",-0.8999999761581421,"pain of a brother, your dirty mother."
The Life of Pablo,yeah i'm the one your bitch like.,-0.8999999761581421,yeah i'm the one your bitch like.
The Life of Pablo,but you were suckin' a nigga dick the whole time.,-0.8999999761581421,but you were suckin' a nigga dick the whole time.
The Life of Pablo,"hurt him bad, people get divorced for that.",-0.8999999761581421,"hurt him bad, people get divorced for that."
The Life of Pablo,"you're dealing with malpractice, don't kill a good nigga's confidence.",-0.8999999761581421,"you're dealing with malpractice, don't kill a good nigga's confidence."
The Life of Pablo,they be asking round town who be clappin' shit.,-0.8999999761581421,they be asking round town who be clappin' shit.
The Life of Pablo,"i mean i fuck with your friends, but damn, gina.",-0.8999999761581421,"i mean i fuck with your friends, but damn, gina."
The Life of Pablo,"i'm a jerk, you need to work, you need to call my spouse.",-0.8999999761581421,"i'm a jerk, you need to work, you need to call my spouse."
